algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
Q-learning,0.00,3,84.17,0.08,0.32,0.20,565
A*,0.00,3,101.83,0.00,0.00,0.00,0
Q-learning,0.00,3,84.16,0.13,0.36,0.87,499
A*,0.00,3,101.82,0.00,0.00,0.00,0
Q-learning,0.01,3,84.16,0.19,0.79,0.18,316
A*,0.00,3,101.82,0.00,0.00,0.00,0
algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
1,2
1,2
1,2
1,2
1,2
1,2
