algorithm, time, graph_size, route heuristic, alpha, gamma, epsilon, episodes
Q-learning,0.01,3,84.17,0.53,0.85,0.51,801
A*,0.00,3,84.17,0.00,0.00,0.00,0
Q-learning,0.04,3,84.17,0.11,0.20,0.93,432
A*,0.00,3,84.17,0.00,0.00,0.00,0
Q-learning,0.00,3,84.17,0.70,0.02,0.89,19
A*,0.00,3,84.17,0.00,0.00,0.00,0
Q-learning,0.05,3,76.63,0.66,0.33,0.36,143
A*,0.00,3,76.63,0.00,0.00,0.00,0
Q-learning,0.03,3,83.91,0.69,0.95,0.60,49
A*,0.00,3,83.91,0.00,0.00,0.00,0
Q-learning,0.04,3,76.47,0.84,0.27,0.21,745
A*,0.00,3,76.47,0.00,0.00,0.00,0
Q-learning,0.00,3,76.54,0.13,0.73,0.92,314
A*,0.00,3,76.54,0.00,0.00,0.00,0
Q-learning,0.05,3,83.64,0.97,0.75,0.52,996
A*,0.00,3,83.64,0.00,0.00,0.00,0
Q-learning,0.04,3,68.79,0.78,0.04,0.65,356
A*,0.00,3,68.79,0.00,0.00,0.00,0
Q-learning,0.01,3,70.83,0.26,0.76,0.82,650
A*,0.00,3,71.83,0.00,0.00,0.00,0
Q-learning,0.00,3,70.79,0.53,0.49,0.42,350
A*,0.00,3,71.79,0.00,0.00,0.00,0
Q-learning,0.00,3,70.82,0.12,0.06,0.01,646
A*,0.00,3,71.82,0.00,0.00,0.00,0
Q-learning,0.08,3,63.23,0.83,0.95,0.64,162
A*,0.00,3,64.23,0.00,0.00,0.00,0
Q-learning,0.00,3,70.53,0.58,0.79,0.15,858
A*,0.00,3,71.53,0.00,0.00,0.00,0
Q-learning,0.00,3,70.57,0.85,0.09,0.94,33
A*,0.00,3,71.57,0.00,0.00,0.00,0
Q-learning,0.05,3,68.50,0.81,0.55,0.56,683
A*,0.00,3,68.50,0.00,0.00,0.00,0
Q-learning,0.12,3,68.45,0.41,0.52,0.24,668
A*,0.00,3,68.45,0.00,0.00,0.00,0
Q-learning,0.04,3,68.49,0.74,0.57,0.08,943
A*,0.00,3,68.49,0.00,0.00,0.00,0
